x,y,z,t
11268.0,-3514.0,5412.0,1776887484.076
11331.0,-3499.0,5495.0,1776887484.57
11388.0,-3504.0,5702.0,1776887485.07
11418.0,-3479.0,5687.0,1776887485.57
11486.0,-3489.0,5662.0,1776887486.07
11481.0,-3351.0,5765.0,1776887486.59
11413.0,-3419.0,5947.0,1776887487.096
11063.0,-3874.0,6477.0,1776887487.59
6501.0,-769.0,14994.0,1776887488.096
5353.0,-221.0,13837.0,1776887488.59
5008.0,-221.0,15572.0,1776887489.098
4898.0,-379.0,15704.0,1776887489.596
3896.0,629.0,14994.0,1776887490.09
-1054.0,-574.0,15979.0,1776887490.61
-3999.0,-2066.0,14017.0,1776887491.11
-4829.0,-964.0,15772.0,1776887491.61
-5302.0,-1774.0,15627.0,1776887492.11
-5549.0,-4494.0,11330.0,1776887492.617
-6209.0,-5594.0,5967.0,1776887493.11
-5089.0,-6471.0,4835.0,1776887493.61
-5017.0,-6486.0,4855.0,1776887494.11
-5139.0,-6609.0,4800.0,1776887494.61
-4547.0,-6886.0,2972.0,1776887495.11
-1472.0,-8606.0,3107.0,1776887495.637
-939.0,-10114.0,3947.0,1776887496.136
-667.0,-10221.0,3667.0,1776887496.63
-1497.0,-10696.0,3775.0,1776887497.136
-3962.0,-9744.0,5962.0,1776887498.136
-4014.0,-9801.0,5937.0,1776887498.65
-4034.0,-9689.0,5760.0,1776887499.15
-6204.0,-10901.0,5212.0,1776887499.657
-12919.0,-8571.0,3550.0,1776887500.15
-13141.0,-9786.0,490.0,1776887500.639
-13616.0,-10026.0,392.0,1776887501.15
-13084.0,-9724.0,392.0,1776887501.65
-13296.0,-9689.0,347.0,1776887502.157
-13201.0,-9679.0,575.0,1776887502.656
-10881.0,-5451.0,-6225.0,1776887503.656
-10162.0,-6281.0,-5505.0,1776887504.161
-10074.0,-6129.0,-5225.0,1776887504.65
-10044.0,-6111.0,-5190.0,1776887505.17
-10459.0,-6364.0,-5413.0,1776887505.65
-11239.0,-6189.0,-5300.0,1776887506.15
-11679.0,-3479.0,-5688.0,1776887506.676
-11746.0,-3581.0,-5623.0,1776887507.177
-11811.0,-3611.0,-6055.0,1776887507.67
