step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
0,0,1776901884.874625,0.0,000000.png,,0,,,1776887484.608,0.0,,,161.0,0.0,100.0,0.0,27.5,1000.0,1000.0,0.0
1,12,1776901890.875916,6.001291036605835,000001.png,,12,,,1776887490.621,6.013000011444092,,,140.0,0.5799999833106995,100.0,0.0,27.5,1000.0,1000.0,0.0
2,24,1776901896.877123,12.002498149871826,000002.png,,24,,,1776887496.659,12.050999879837036,,,89.0,0.5,100.0,0.0,27.5,1000.0,1000.0,0.0
3,36,1776901902.877977,18.00335192680359,000003.png,,36,,,1776887502.709,18.1010000705719,,,36.0,0.0,100.0,0.0,29.0,1000.0,1000.0,0.0
4,48,1776901908.880086,24.00546097755432,000004.png,,48,,,1776887508.745,24.13699984550476,,,351.0,0.7300000190734863,100.0,0.0,29.25,1000.0,1000.0,0.0
5,60,1776901914.882065,30.007440090179443,000005.png,,60,,,1776887514.781,30.1729998588562,,,31.0,0.0,100.0,0.0,28.0,1000.0,1000.0,0.0
6,72,1776901920.88267,36.008044958114624,000006.png,,72,,,1776887520.745,36.13699984550476,,,15.0,1.4600000381469727,100.0,0.0,27.75,1000.0,1000.0,0.0
7,84,1776901926.88351,42.00888514518738,000007.png,,84,,,1776887526.771,42.162999868392944,,,62.0,0.0,100.0,0.0,27.75,1000.0,1000.0,0.0
8,96,1776901932.884735,48.0101101398468,000008.png,,96,,,1776887532.797,48.18899989128113,,,9.0,0.07000000029802322,100.0,0.0,27.75,1000.0,1000.0,0.0
9,108,1776901938.885926,54.011301040649414,000009.png,,108,,,1776887538.803,54.1949999332428,,,307.0,0.009999999776482582,100.0,0.0,28.0,1000.0,1000.0,0.0
10,120,1776901944.887087,60.01246213912964,000010.png,,120,,,1776887544.828,60.22000002861023,,,354.0,0.1599999964237213,100.0,0.0,28.0,1000.0,1000.0,0.0
11,132,1776901950.887904,66.01327896118164,000011.png,,132,,,1776887550.849,66.2409999370575,,,330.0,0.029999999329447746,100.0,0.0,28.0,1000.0,1000.0,0.0
12,144,1776901956.889026,72.01440095901489,000012.png,,144,,,1776887556.465,71.85699987411499,,,342.0,0.05999999865889549,100.0,0.0,28.0,1000.0,1000.0,0.0
13,156,1776901962.890062,78.01543712615967,000013.png,,156,,,1776887562.4,77.79200005531311,,,320.0,1.3200000524520874,100.0,0.0,28.0,1000.0,1000.0,0.0
14,168,1776901968.890751,84.01612591743469,000014.png,,168,,,1776887568.41,83.80200004577637,,,11.0,0.05999999865889549,100.0,0.0,28.0,1000.0,1000.0,0.0
15,180,1776901974.892025,90.01740002632141,000015.png,,180,,,1776887574.614,90.00600004196167,,,206.0,0.0,100.0,0.0,28.5,1000.0,1000.0,0.0
16,192,1776901980.893004,96.0183789730072,000016.png,,192,,,1776887580.457,95.84899997711182,,,206.0,0.0,100.0,0.0,28.75,1000.0,1000.0,0.0
17,204,1776901986.893926,102.01930093765259,000017.png,,204,,,1776887586.504,101.89599990844727,,,205.0,0.0,100.0,0.0,28.5,1000.0,1000.0,0.0
18,216,1776901992.895139,108.02051401138306,000018.png,,216,,,1776887592.525,107.91700005531311,,,206.0,0.0,100.0,0.0,28.5,1000.0,1000.0,0.0
19,228,1776901998.895857,114.02123212814331,000019.png,,228,,,1776887598.531,113.9229998588562,,,197.0,0.019999999552965164,100.0,0.0,28.5,1000.0,1000.0,0.0
20,240,1776902004.89698,120.02235507965088,000020.png,,240,,,1776887604.56,119.95199990272522,,,49.0,0.7099999785423279,100.0,0.0,28.5,1000.0,1000.0,0.0
21,252,1776902010.897509,126.0228841304779,000021.png,,252,,,1776887610.646,126.03799986839294,,,65.0,0.07999999821186066,100.0,0.0,28.75,1000.0,1000.0,0.0
22,264,1776902016.898519,132.02389407157898,000022.png,,264,,,1776887616.733,132.125,,,24.0,0.029999999329447746,100.0,0.0,30.25,1000.0,1000.0,0.0
23,276,1776902022.899832,138.0252070426941,000023.png,,276,,,1776887622.667,138.0590000152588,,,317.0,0.0,100.0,0.0,30.25,1000.0,1000.0,0.0
24,288,1776902028.900947,144.02632212638855,000024.png,,288,,,1776887628.672,144.06399989128113,,,296.0,0.8799999952316284,100.0,0.0,29.75,1000.0,1000.0,0.0
25,300,1776902034.901631,150.027006149292,000025.png,,300,,,1776887634.775,150.1670000553131,,,295.0,0.9200000166893005,100.0,0.0,30.0,1000.0,1000.0,0.0
26,312,1776902040.90259,156.02796506881714,000026.png,,312,,,1776887640.733,156.125,,,283.0,0.18000000715255737,100.0,0.0,30.25,1000.0,1000.0,0.0
27,324,1776902046.903746,162.02912092208862,000027.png,,324,,,1776887646.8,162.19199991226196,,,243.0,0.41999998688697815,100.0,0.0,29.25,1000.0,1000.0,0.0
28,336,1776902052.904664,168.03003907203674,000028.png,,336,,,1776887652.816,168.2079999446869,,,259.0,1.4600000381469727,100.0,0.0,29.25,1000.0,1000.0,0.0
29,348,1776902058.905808,174.03118300437927,000029.png,,348,,,1776887658.863,174.25499987602234,,,73.0,1.2000000476837158,100.0,0.0,29.5,1000.0,1000.0,0.0
30,360,1776902064.906537,180.03191208839417,000030.png,,360,,,1776887664.877,180.26900005340576,,,167.0,0.38999998569488525,100.0,0.0,29.25,1000.0,1000.0,0.0
31,372,1776902070.908683,186.03405809402466,000031.png,,372,,,1776887670.379,185.77099990844727,,,103.0,0.15000000596046448,100.0,0.0,29.25,1000.0,1000.0,0.0
32,384,1776902076.908841,192.03421592712402,000032.png,,384,,,1776887676.877,192.26900005340576,,,105.0,0.15000000596046448,100.0,0.0,29.25,1000.0,1000.0,0.0
33,396,1776902082.910099,198.03547406196594,000033.png,,396,,,1776887682.41,197.80200004577637,,,186.0,0.4099999964237213,100.0,0.0,29.25,1000.0,1000.0,0.0
34,408,1776902088.909774,204.03514909744263,000034.png,,408,,,1776887688.458,203.84999990463257,,,188.0,0.11999999731779099,100.0,0.0,29.25,1000.0,1000.0,0.0
35,420,1776902094.911233,210.03660798072815,000035.png,,420,,,1776887694.489,209.88100004196167,,,139.0,0.7900000214576721,100.0,0.0,28.5,1000.0,1000.0,0.0
36,432,1776902100.912644,216.03801894187927,000036.png,,432,,,1776887700.546,215.93799996376038,,,116.0,0.019999999552965164,100.0,0.0,28.25,1000.0,1000.0,0.0
37,444,1776902106.91336,222.0387351512909,000037.png,,444,,,1776887706.543,221.93499994277954,,,230.0,0.1899999976158142,100.0,0.0,28.25,1000.0,1000.0,0.0
38,456,1776902112.914224,228.03959894180298,000038.png,,456,,,1776887712.535,227.92700004577637,,,127.0,1.0299999713897705,100.0,0.0,28.5,1000.0,1000.0,0.0
39,468,1776902118.91524,234.0406150817871,000039.png,,468,,,1776887718.576,233.96799993515015,,,78.0,0.0,100.0,0.0,28.5,1000.0,1000.0,0.0
40,480,1776902124.916668,240.04204297065735,000040.png,,480,,,1776887724.613,240.00499987602234,,,78.0,0.0,100.0,0.0,27.75,1000.0,1000.0,0.0
41,492,1776902130.916961,246.04233598709106,000041.png,,492,,,1776887730.674,246.0659999847412,,,78.0,0.0,100.0,0.0,28.0,1000.0,1000.0,0.0
42,504,1776902136.918615,252.04399013519287,000042.png,,504,,,1776887736.649,252.04099988937378,,,78.0,0.0,100.0,0.0,28.0,1000.0,1000.0,0.0
43,516,1776902142.919431,258.04480600357056,000043.png,,516,,,1776887742.75,258.1419999599457,,,235.0,1.5199999809265137,100.0,0.0,29.75,1000.0,1000.0,0.0
44,528,1776902148.920818,264.04619312286377,000044.png,,528,,,1776887748.703,264.09500002861023,,,56.0,1.3200000524520874,100.0,0.0,29.75,1000.0,1000.0,0.0
45,540,1776902154.921322,270.04669713974,000045.png,,540,,,1776887754.728,270.1199998855591,,,64.0,0.20999999344348907,100.0,0.0,29.5,1000.0,1000.0,0.0
46,552,1776902160.922506,276.0478811264038,000046.png,,552,,,1776887760.755,276.1470000743866,,,64.0,0.0,100.0,0.0,30.0,1000.0,1000.0,0.0
47,564,1776902166.923041,282.0484161376953,000047.png,,564,,,1776887766.903,282.29500007629395,,,64.0,0.5400000214576721,100.0,0.0,30.5,1000.0,1000.0,0.0
48,576,1776902172.924119,288.04949402809143,000048.png,,576,,,1776887772.896,288.28799986839294,,,64.0,0.0,100.0,0.0,29.25,1000.0,1000.0,0.0
