frame_index,timestamp,relative_time_sec,brightness,sharpness_raw,novelty_raw,top_texture,bottom_texture,terrain_focus_raw,roll_deg,pitch_deg,tilt_deg,rpm_sum,brightness_score,sharpness_score,terrain_score,novelty_score,motion_score,tilt_score,quality_score,smoothed_quality_score,hard_reject,motion_candidate_keep,candidate_keep,selected_window_keep
0,1776900099.667877,0.0,130.592529296875,1698.1962890625,0.0,19.8140869140625,41.494407653808594,2.0941872231497625,1.8425191765813822,0.7894649953488112,1.8425191765813822,0.0,1.0,1.0,0.842723320633574,0.0,0.0,1.0,0.6264084980950362,0.37598454807581433,False,False,False,False
1,1776900100.167879,0.5000021457672119,130.60171508789062,1696.52734375,0.10140950232744217,19.793991088867188,41.5,2.096595871630002,2.0003260779637246,0.7367719723139371,2.0003260779637246,0.0,1.0,1.0,0.844102484173104,0.0021457701218380158,0.0,1.0,0.6269372381442414,0.5074461008544395,False,False,False,False
2,1776900100.66808,1.0002031326293945,130.5998992919922,1696.60986328125,0.031584203243255615,19.797800064086914,41.499141693115234,2.096149145803044,1.8408285269244369,0.6310071231657405,1.8408285269244369,0.0,1.0,1.0,0.8438466942652939,0.0,0.0,1.0,0.6265770041397941,0.6327732904914638,False,False,False,False
3,1776900101.167875,1.4999980926513672,130.6071319580078,1694.86767578125,6.25198221206665,19.777755737304688,41.46434020996094,2.0965139200172818,2.101654216437444,0.7353736929835644,2.101654216437444,0.0,1.0,1.0,0.8440555596520719,0.20466286630210223,0.0,1.0,0.6573077638931262,0.6328173892150785,False,False,False,False
4,1776900101.669155,2.0012779235839844,130.60951232910156,1695.0355224609375,0.03698459267616272,19.776996612548828,41.46826171875,2.0967926794525367,2.002164893224613,0.7374489053567886,2.002164893224613,0.0,1.0,1.0,0.8442151739970283,2.44805704449703e-05,0.0,1.0,0.626635948185121,0.6327498463998236,False,False,False,False
5,1776900102.168065,2.500188112258911,130.6097412109375,1695.204833984375,0.01744683086872101,19.777873992919922,41.46934509277344,2.0967544392091195,2.1035824672378785,0.8411835808260928,2.1035824672378785,0.0,1.0,1.0,0.8441932780873942,0.0,0.0,1.0,0.6266289917131092,0.63898355849457,False,False,False,False
6,1776900102.667491,2.9996140003204346,130.61212158203125,1695.485107421875,0.02704535610973835,19.781150817871094,41.46942901611328,2.0964113462320966,2.0003260779637246,0.7893920622609285,2.0003260779637246,0.0,1.0,1.0,0.8439968271197827,0.0,0.0,1.0,0.6265995240679675,0.6329575769043605,False,False,False,False
7,1776900103.168005,3.5001280307769775,130.60870361328125,1695.3775634765625,6.2422027587890625,19.744102478027344,41.505531311035156,2.1021736165128546,1.9441560777957996,0.6303906750832606,1.9441560777957996,0.0,1.0,1.0,0.8472962347092818,0.20434086271422958,0.0,1.0,0.6577455646135267,0.6330676588822938,False,False,False,False
8,1776900103.668375,4.000498056411743,130.61148071289062,1695.0047607421875,0.0289171002805233,19.735851287841797,41.507354736328125,2.1031448874920633,2.1660588625380046,0.6866026939017459,2.1660588625380046,0.0,1.0,1.0,0.8478523729471849,0.0,0.0,1.0,0.6271778559420778,0.6332096255109589,False,False,False,False
9,1776900104.168506,4.50062894821167,130.61253356933594,1695.043212890625,0.024078775197267532,19.735919952392578,41.50945281982422,2.1032438781650025,2.1035824672378785,0.7360480152151376,2.1035824672378785,0.0,1.0,1.0,0.847909053831918,0.0,0.0,1.0,0.6271863580747877,0.6393847385737068,False,False,False,False
10,1776900104.668372,5.000494956970215,130.61512756347656,1694.7877197265625,0.04946397617459297,19.72954559326172,41.51606750488281,2.1042586768476768,2.1093882671343134,0.7907917033600397,2.1093882671343134,0.0,1.0,1.0,0.8484901155163395,0.0004353835265583306,0.0,1.0,0.6273388248564347,0.6332486504514295,False,False,False,False
11,1776900105.168545,5.500668048858643,130.5898895263672,1694.1470947265625,6.255749702453613,19.762794494628906,41.467193603515625,2.098245448779296,2.105514027514451,0.9471817624320363,2.105514027514451,0.0,1.0,1.0,0.8450470124754327,0.2047869167359499,0.0,1.0,0.6574750893817074,0.6331723393235045,False,False,False,False
12,1776900105.66875,6.00087308883667,130.59837341308594,1693.417724609375,0.0849338099360466,19.757465362548828,41.4715576171875,2.0990322825416015,2.051038484497367,0.8412115580819529,2.051038484497367,0.0,1.0,1.0,0.8454975441514102,0.001603282529523026,0.0,1.0,0.62706512400214,0.6330870487037992,False,False,False,False
13,1776900106.172638,6.504760980606079,130.59947204589844,1693.8775634765625,0.0348014310002327,19.76111602783203,41.47270202636719,2.098702419840865,2.047281811303611,0.7347250315685881,2.047281811303611,0.0,1.0,1.0,0.8453086686830142,0.0,0.0,1.0,0.6267963003024521,0.6395162539234853,False,False,False,False
14,1776900106.668595,7.000718116760254,130.60092163085938,1694.115478515625,0.018230251967906952,19.765003204345703,41.47248458862305,2.0982786675948804,2.2046150998929064,0.6821802808342466,2.2046150998929064,0.0,1.0,1.0,0.8450660331750725,0.0,0.0,1.0,0.6267599049762609,0.6336790775355805,False,False,False,False
15,1776900107.168772,7.500895023345947,130.6558837890625,1682.796142578125,6.305306911468506,19.566749572753906,41.45793914794922,2.118795408189724,2.0529218812560286,0.7367480425521351,2.0529218812560286,0.0,1.0,1.0,0.8568136753945738,0.20641866430453037,0.0,1.0,0.6594848509548658,0.6338154625046822,False,False,False,False
16,1776900107.668785,8.000908136367798,130.67178344726562,1685.697509765625,0.08615342527627945,19.620651245117188,41.46263885498047,2.1132142015570916,2.1035824672378785,0.7360480152151376,2.1035824672378785,0.0,1.0,1.0,0.853617942701548,0.0016434402463434057,0.0,1.0,0.6282892074421838,0.6339824856501536,False,False,False,False
17,1776900108.168833,8.500956058502197,130.67185974121094,1689.325927734375,0.06037651747465134,19.667926788330078,41.46754455566406,2.108384122126626,2.0642961787715577,0.6350046399792116,2.0642961787715577,0.0,1.0,1.0,0.8508522965318469,0.0007946957858111328,0.0,1.0,0.6277470488476489,0.6403766004429831,False,False,False,False
18,1776900108.671992,9.004115104675293,130.6732940673828,1689.76025390625,0.01769097149372101,19.6683349609375,41.46922302246094,2.108425705827225,2.1680571026113737,0.6872357380848599,2.1680571026113737,0.0,1.0,1.0,0.8508761068653908,0.0,0.0,1.0,0.6276314160298087,0.6339557830098187,False,False,False,False
19,1776900109.169482,9.501605033874512,130.62391662597656,1685.1820068359375,6.353559970855713,19.653736114501953,41.41508865356445,2.107237443928302,2.2167942330217767,0.7914643635474653,2.2167942330217767,0.0,1.0,1.0,0.8501957222016047,0.20800747073444825,0.0,1.0,0.658730478940408,0.6337251593027162,False,False,False,False
20,1776900109.669379,10.00150203704834,130.63059997558594,1687.1837158203125,0.07555338740348816,19.690635681152344,41.41426467895508,2.103246708210459,2.164064300771243,0.6332082961854315,2.164064300771243,0.0,1.0,1.0,0.8479106742823661,0.0012944176445945778,0.0,1.0,0.6273807637890442,0.6335870030486778,False,False,False,False
21,1776900110.169867,10.50199007987976,130.63282775878906,1687.6993408203125,0.04284505173563957,19.69943618774414,41.4137077331543,2.1022788336916736,2.113276551916395,0.7394380858764256,2.113276551916395,0.0,1.0,1.0,0.8473564808174001,0.0002174452270743036,0.0,1.0,0.6271360889066713,0.6394985495193201,False,False,False,False
22,1776900110.671938,11.004060983657837,130.6332244873047,1689.253662109375,0.05874565988779068,19.72093963623047,41.42255401611328,2.1004351101006127,1.998490854411434,0.6309489330986299,1.998490854411434,0.0,1.0,1.0,0.8463007865661952,0.0007409972835153072,0.0,1.0,0.6270562675774567,0.6330844744310136,False,False,False,False
23,1776900111.169615,11.50173807144165,130.6028594970703,1690.2176513671875,6.245583534240723,19.74062728881836,41.36650085449219,2.0955008292934707,2.107449367572204,0.684734044390435,2.107449367572204,0.0,1.0,1.0,0.8434754759246295,0.20445217996217033,0.0,1.0,0.65718914838302,0.6329385027918175,False,False,False,False
24,1776900111.669669,12.001791954040527,130.6053009033203,1689.552978515625,0.03615342825651169,19.727554321289062,41.3709831237793,2.097116674981533,2.1985754360031526,0.6803125049895361,2.1985754360031526,0.0,1.0,1.0,0.844400689992504,0.0,0.0,1.0,0.6266601034988757,0.6328583428105082,False,False,False,False
25,1776900112.169575,12.501698017120361,130.60598754882812,1689.56494140625,0.020554469898343086,19.728294372558594,41.37042236328125,2.0970095833944034,2.0978085247008607,0.6291766830368982,2.0978085247008607,0.0,1.0,1.0,0.8443393706204281,0.0,0.0,1.0,0.6266509055930642,0.6391036584416854,False,False,False,False
26,1776900112.670235,13.002357959747314,130.60708618164062,1689.558349609375,0.03480468690395355,19.72229766845703,41.37722396850586,2.0979920627951354,2.0978085247008607,0.6291766830368982,2.0978085247008607,0.0,1.0,1.0,0.8449019266674997,0.0,0.0,1.0,0.626735289000125,0.6330558818312757,False,False,False,False
27,1776900113.170286,13.502408981323242,130.6681365966797,1694.230712890625,6.348653316497803,19.710304260253906,41.43712615966797,2.1023077884813017,2.1561231060850847,0.7360229165418034,2.1561231060850847,0.0,1.0,1.0,0.8473730599863728,0.20784591156924226,0.0,1.0,0.6582828457333423,0.6331095973476375,False,False,False,False
28,1776900113.670134,14.002257108688354,130.6668701171875,1698.8798828125,0.08627387136220932,19.764163970947266,41.457664489746094,2.0976179185058186,2.045408516774657,0.6291974957166003,2.045408516774657,0.0,1.0,1.0,0.8446876960869139,0.0016474061195587847,0.0,1.0,0.626950265330971,0.6330787082148037,False,False,False,False
29,1776900114.170033,14.502156019210815,130.67047119140625,1700.024169921875,0.09840603172779083,19.779815673828125,41.47172546386719,2.096668955249211,2.2147551674360915,0.5798906869924608,2.2147551674360915,0.0,1.0,1.0,0.844144330986276,0.002046876218292897,0.0,1.0,0.6269286810806853,0.6392032776789119,False,False,False,False
30,1776900114.670231,15.002354145050049,130.6699676513672,1702.357421875,0.042357854545116425,19.80135726928711,41.48106384277344,2.0948596239467197,2.269520604953484,0.7386795433072891,2.269520604953484,0.0,1.0,1.0,0.8431083293514181,0.0002014035078803012,0.0,1.0,0.6264964599288948,0.6328429189994932,False,False,False,False
31,1776900115.170346,15.502469062805176,130.66452026367188,1689.7275390625,6.3104729652404785,19.76427459716797,41.38119125366211,2.093736911527815,2.105514027514451,0.789340122218529,2.105514027514451,0.0,1.0,1.0,0.842465477542101,0.20658876459567146,0.0,1.0,0.6573581363206659,0.6329010876564696,False,False,False,False
32,1776900115.67072,16.002843141555786,130.6677703857422,1689.25341796875,0.05022135376930237,19.758987426757812,41.379825592041016,2.094228044095218,2.0566995172799616,0.7381030205814362,2.0566995172799616,0.0,1.0,1.0,0.8427466942225734,0.00046032135242122385,0.0,1.0,0.6264810523362492,0.6329091042571582,False,False,False,False
33,1776900116.170343,16.502465963363647,130.67970275878906,1685.51220703125,0.08429796248674393,19.69571876525879,41.383026123046875,2.101117842728454,2.1541467835962838,0.7353486632263225,2.1541467835962838,0.0,1.0,1.0,0.8466917111678094,0.0015823462712063815,0.0,1.0,0.6272411086158525,0.6330141422250257,False,False,False,False
34,1776900116.670509,17.00263214111328,130.68016052246094,1686.1107177734375,0.028174912557005882,19.70058822631836,41.385231018066406,2.1007104225841924,2.0529218812560286,0.8419835716300229,2.0529218812560286,0.0,1.0,1.0,0.8464584272275227,0.0,0.0,1.0,0.6269687640841285,0.6330187703666897,False,False,False,False
