step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
0,0,1776900233.193715,0.0,000000.png,,0,,,1776885838.485,0.0,,,266.0,1.100000023841858,100.0,0.0,27.329999923706055,1000.0,1000.0,0.0
1,12,1776900245.1954,12.00168490409851,000001.png,,24,,,1776885850.574,12.08899998664856,,,281.0,0.0,100.0,0.0,27.25,1000.0,1000.0,0.0
2,24,1776900251.196833,18.00311779975891,000002.png,,41,,,1776885854.892,16.407000064849854,,,280.0,0.0,100.0,0.0,27.25,1000.0,1000.0,0.0
3,36,1776900257.196192,24.002476930618286,000003.png,,49,,,1776885862.794,24.30900001525879,,,284.0,0.0,100.0,0.0,27.25,1000.0,1000.0,0.0
4,48,1776900263.196558,30.002842903137207,000004.png,,61,,,1776885868.954,30.469000101089478,,,284.0,0.0,100.0,0.0,27.25,1000.0,1000.0,0.0
5,60,1776900269.198056,36.0043408870697,000005.png,,88,,,1776885868.954,30.469000101089478,,,284.0,0.0,100.0,0.0,27.25,1000.0,1000.0,0.0
6,72,1776900275.199027,42.00531196594238,000006.png,,89,,,1776885883.173,44.688000202178955,,,287.0,0.0,100.0,0.0,27.25,1000.0,1000.0,0.0
7,84,1776900281.199717,48.0060019493103,000007.png,,96,,,1776885886.36,47.875,,,203.0,0.0,100.0,0.0,27.25,1000.0,1000.0,0.0
8,96,1776900287.200942,54.00722694396973,000008.png,,110,,,1776885893.654,55.16900014877319,,,203.0,0.0,100.0,0.0,28.5,1000.0,1000.0,0.0
9,108,1776900293.202534,60.00881886482239,000009.png,,122,,,1776885899.464,60.979000091552734,,,333.0,0.0,100.0,0.0,28.75,1000.0,1000.0,0.0
10,120,1776900299.205376,66.01166081428528,000010.png,,132,,,1776885904.55,66.06500005722046,,,5.0,0.029999999329447746,100.0,0.0,30.75,1000.0,1000.0,0.0
11,132,1776900305.206734,72.01301884651184,000011.png,,145,,,1776885910.487,72.00200009346008,,,56.0,0.0,100.0,0.0,30.5,1000.0,1000.0,0.0
12,144,1776900311.220621,78.02690601348877,000012.png,,156,,,1776885916.535,78.05000019073486,,,303.0,0.07999999821186066,100.0,0.0,30.5,1000.0,1000.0,0.0
