front_left,front_right,rear_left,rear_right,t
101.0,68.0,101.0,68.0,1776886677.856
101.0,68.0,101.0,68.0,1776886677.872
106.0,73.0,106.0,73.0,1776886678.296
110.0,79.0,110.0,79.0,1776886678.31
110.0,79.0,110.0,79.0,1776886678.33
110.0,79.0,110.0,79.0,1776886678.356
110.0,79.0,110.0,79.0,1776886678.37
118.0,100.0,118.0,100.0,1776886679.29
118.0,100.0,118.0,100.0,1776886679.316
118.0,100.0,118.0,100.0,1776886679.33
122.0,102.0,122.0,102.0,1776886679.356
122.0,102.0,122.0,102.0,1776886679.372
116.0,107.0,116.0,107.0,1776886679.81
116.0,107.0,116.0,107.0,1776886679.838
116.0,107.0,116.0,107.0,1776886679.85
115.0,108.0,115.0,108.0,1776886679.876
115.0,108.0,115.0,108.0,1776886679.89
109.0,108.0,109.0,108.0,1776886680.316
109.0,108.0,109.0,108.0,1776886680.33
109.0,108.0,109.0,108.0,1776886680.356
109.0,108.0,109.0,108.0,1776886680.373
103.0,106.0,103.0,106.0,1776886680.399
87.0,96.0,87.0,96.0,1776886680.822
87.0,96.0,87.0,96.0,1776886680.832
87.0,96.0,87.0,96.0,1776886680.858
87.0,96.0,87.0,96.0,1776886680.87
87.0,96.0,87.0,96.0,1776886680.896
-54.0,66.0,-54.0,66.0,1776886681.31
-54.0,66.0,-54.0,66.0,1776886681.337
-44.0,55.0,-44.0,55.0,1776886681.35
-44.0,55.0,-44.0,55.0,1776886681.376
-44.0,55.0,-44.0,55.0,1776886681.39
-20.0,29.0,-20.0,29.0,1776886681.81
-20.0,29.0,-20.0,29.0,1776886681.844
-20.0,29.0,-20.0,29.0,1776886681.855
-13.0,20.0,-13.0,20.0,1776886681.87
-13.0,20.0,-13.0,20.0,1776886681.896
0.0,3.0,0.0,3.0,1776886682.316
0.0,3.0,0.0,3.0,1776886682.33
0.0,3.0,0.0,3.0,1776886682.356
0.0,7.0,0.0,7.0,1776886682.37
0.0,7.0,0.0,7.0,1776886682.399
65.0,73.0,65.0,73.0,1776886683.337
65.0,73.0,65.0,73.0,1776886683.35
65.0,73.0,65.0,73.0,1776886683.377
65.0,73.0,65.0,73.0,1776886683.39
76.0,85.0,76.0,85.0,1776886683.411
88.0,93.0,88.0,93.0,1776886683.836
88.0,93.0,88.0,93.0,1776886683.85
88.0,93.0,88.0,93.0,1776886683.876
88.0,93.0,88.0,93.0,1776886683.89
88.0,93.0,88.0,93.0,1776886683.916
-64.0,66.0,-64.0,66.0,1776886684.336
-64.0,66.0,-64.0,66.0,1776886684.35
-54.0,56.0,-54.0,56.0,1776886684.376
-54.0,56.0,-54.0,56.0,1776886684.391
-54.0,56.0,-54.0,56.0,1776886684.417
-19.0,25.0,-19.0,25.0,1776886684.837
-19.0,25.0,-19.0,25.0,1776886684.856
-19.0,25.0,-19.0,25.0,1776886684.872
-19.0,25.0,-19.0,25.0,1776886684.898
-10.0,16.0,-10.0,16.0,1776886684.911
-7.0,6.0,-7.0,6.0,1776886685.33
-7.0,6.0,-7.0,6.0,1776886685.357
-7.0,6.0,-7.0,6.0,1776886685.37
-7.0,6.0,-7.0,6.0,1776886685.396
-7.0,6.0,-7.0,6.0,1776886685.41
-18.0,12.0,-18.0,12.0,1776886685.83
-18.0,12.0,-18.0,12.0,1776886685.856
-18.0,12.0,-18.0,12.0,1776886685.87
-18.0,12.0,-18.0,12.0,1776886685.896
-18.0,12.0,-18.0,12.0,1776886685.91
22.0,12.0,22.0,12.0,1776886686.336
22.0,12.0,22.0,12.0,1776886686.35
22.0,12.0,22.0,12.0,1776886686.376
22.0,12.0,22.0,12.0,1776886686.39
22.0,12.0,22.0,12.0,1776886686.416
33.0,27.0,33.0,27.0,1776886686.837
33.0,27.0,33.0,27.0,1776886686.85
33.0,27.0,33.0,27.0,1776886686.879
33.0,27.0,33.0,27.0,1776886686.896
33.0,27.0,33.0,27.0,1776886686.91
61.0,63.0,61.0,63.0,1776886687.35
61.0,63.0,61.0,63.0,1776886687.376
61.0,63.0,61.0,63.0,1776886687.39
61.0,63.0,61.0,63.0,1776886687.416
72.0,73.0,72.0,73.0,1776886687.43
69.0,-70.0,69.0,-70.0,1776886687.836
69.0,-70.0,69.0,-70.0,1776886687.85
69.0,-70.0,69.0,-70.0,1776886687.876
69.0,-70.0,69.0,-70.0,1776886687.894
69.0,-70.0,69.0,-70.0,1776886687.91
30.0,-31.0,30.0,-31.0,1776886688.351
30.0,-31.0,30.0,-31.0,1776886688.377
30.0,-31.0,30.0,-31.0,1776886688.39
30.0,-31.0,30.0,-31.0,1776886688.416
30.0,-31.0,30.0,-31.0,1776886688.431
0.0,0.0,0.0,0.0,1776886688.856
1.0,0.0,1.0,0.0,1776886688.87
1.0,0.0,1.0,0.0,1776886688.898
1.0,0.0,1.0,0.0,1776886688.911
1.0,0.0,1.0,0.0,1776886688.937
9.0,-9.0,9.0,-9.0,1776886689.363
9.0,-9.0,9.0,-9.0,1776886689.374
9.0,-13.0,9.0,-13.0,1776886689.39
9.0,-13.0,9.0,-13.0,1776886689.417
9.0,-13.0,9.0,-13.0,1776886689.43
12.0,-18.0,12.0,-18.0,1776886689.857
12.0,-18.0,12.0,-18.0,1776886689.87
12.0,-18.0,12.0,-18.0,1776886689.897
12.0,-18.0,12.0,-18.0,1776886689.91
12.0,-18.0,12.0,-18.0,1776886689.936
10.0,16.0,10.0,16.0,1776886690.352
10.0,16.0,10.0,16.0,1776886690.378
10.0,16.0,10.0,16.0,1776886690.39
10.0,16.0,10.0,16.0,1776886690.416
10.0,16.0,10.0,16.0,1776886690.43
12.0,14.0,12.0,14.0,1776886690.87
22.0,22.0,22.0,22.0,1776886690.896
22.0,22.0,22.0,22.0,1776886690.91
22.0,22.0,22.0,22.0,1776886690.938
22.0,22.0,22.0,22.0,1776886690.95
52.0,49.0,52.0,49.0,1776886691.377
52.0,49.0,52.0,49.0,1776886691.391
52.0,49.0,52.0,49.0,1776886691.417
52.0,49.0,52.0,49.0,1776886691.43
52.0,49.0,52.0,49.0,1776886691.456
-56.0,49.0,-56.0,49.0,1776886691.87
-56.0,49.0,-56.0,49.0,1776886691.896
-56.0,49.0,-56.0,49.0,1776886691.911
