step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
31,372,1776901251.552046,186.03191804885864,000031.png,,372,,,1776886851.14,185.78800010681152,,,8.0,0.05999999865889549,100.0,0.0,28.0,1000.0,1000.0,0.0
32,384,1776901257.553,192.03287196159363,000032.png,,384,,,1776886857.168,191.8159999847412,,,39.0,0.28999999165534973,100.0,0.0,28.0,1000.0,1000.0,0.0
33,396,1776901263.553793,198.03366494178772,000033.png,,396,,,1776886863.211,197.85899996757507,,,150.0,0.029999999329447746,100.0,0.0,28.0,1000.0,1000.0,0.0
34,408,1776901269.554802,204.03467392921448,000034.png,,408,,,1776886869.245,203.89299988746643,,,176.0,0.029999999329447746,100.0,0.0,28.0,1000.0,1000.0,0.0
35,420,1776901275.556088,210.03595995903015,000035.png,,420,,,1776886875.356,210.0039999485016,,,303.0,0.7799999713897705,100.0,0.0,28.0,1000.0,1000.0,0.0
36,432,1776901281.557569,216.03744101524353,000036.png,,432,,,1776886881.315,215.9630000591278,,,277.0,1.0199999809265137,100.0,0.0,28.0,1000.0,1000.0,0.0
37,444,1776901287.558195,222.03806710243225,000037.png,,444,,,1776886887.358,222.00600004196167,,,264.0,1.1799999475479126,100.0,0.0,28.0,1000.0,1000.0,0.0
38,456,1776901293.559524,228.03939604759216,000038.png,,456,,,1776886893.336,227.98399996757507,,,222.0,0.029999999329447746,100.0,0.0,28.25,1000.0,1000.0,0.0
39,468,1776901299.560311,234.04018306732178,000039.png,,468,,,1776886899.423,234.07100009918213,,,104.0,1.7400000095367432,100.0,0.0,28.25,1000.0,1000.0,0.0
40,480,1776901305.561629,240.04150104522705,000040.png,,480,,,1776886905.512,240.1600000858307,,,117.0,1.3300000429153442,100.0,0.0,28.0,1000.0,1000.0,0.0
41,492,1776901311.56224,246.0421118736267,000041.png,,492,,,1776886911.481,246.1289999485016,,,37.0,0.009999999776482582,100.0,0.0,27.75,1000.0,1000.0,0.0
42,504,1776901317.563193,252.04306507110596,000042.png,,504,,,1776886917.405,252.05299997329712,,,87.0,0.009999999776482582,98.0,0.0,27.5,1000.0,1000.0,0.0
43,516,1776901323.566123,258.04599499702454,000043.png,,516,,,1776886923.438,258.0859999656677,,,359.0,0.23999999463558197,100.0,0.0,27.75,1000.0,1000.0,0.0
44,528,1776901329.565302,264.0451738834381,000044.png,,528,,,1776886929.487,264.13499999046326,,,353.0,0.38999998569488525,100.0,0.0,27.75,1000.0,1000.0,0.0
