x,y,z,t
2873.0,4418.0,4600.0,1776886739.152
1293.0,3778.0,5540.0,1776886739.652
-2289.0,3736.0,3250.0,1776886740.163
-2207.0,3726.0,3530.0,1776886740.659
-1819.0,2641.0,4770.0,1776886741.157
-2944.0,741.0,3040.0,1776886741.658
-3162.0,1201.0,2025.0,1776886742.158
-3404.0,1171.0,2085.0,1776886742.657
-3519.0,1068.0,1995.0,1776886743.152
-3167.0,344.0,3127.0,1776886743.652
-2604.0,1128.0,2857.0,1776886744.176
-3529.0,1073.0,2025.0,1776886744.678
-3389.0,726.0,2657.0,1776886745.199
-3037.0,326.0,2872.0,1776886745.672
-2974.0,451.0,2785.0,1776886746.192
-3749.0,19.0,1300.0,1776886746.712
-2974.0,984.0,1775.0,1776886747.218
-2527.0,1538.0,3580.0,1776886747.712
-867.0,1181.0,5362.0,1776886748.219
-644.0,1426.0,5790.0,1776886748.712
-1142.0,994.0,5500.0,1776886749.219
-1292.0,911.0,4622.0,1776886749.713
-1157.0,1406.0,4372.0,1776886750.232
-1007.0,1128.0,5075.0,1776886750.732
-1689.0,-861.0,5055.0,1776886751.234
-1802.0,-446.0,4480.0,1776886751.732
-1797.0,301.0,3972.0,1776886752.232
-1602.0,311.0,4535.0,1776886752.732
-2914.0,1313.0,4102.0,1776886753.232
-2587.0,2006.0,5095.0,1776886753.732
-2412.0,2203.0,4840.0,1776886754.232
-959.0,2231.0,5510.0,1776886754.738
-2164.0,1943.0,5245.0,1776886755.252
-2682.0,1686.0,5260.0,1776886755.752
-2842.0,634.0,5320.0,1776886756.252
-2014.0,594.0,5270.0,1776886756.752
-1689.0,-124.0,5167.0,1776886757.258
-2087.0,-1451.0,5000.0,1776886757.758
-1879.0,-2264.0,4722.0,1776886758.258
-1287.0,-1644.0,4550.0,1776886758.752
186.0,-749.0,4477.0,1776886759.258
683.0,-1134.0,4305.0,1776886759.76
-77.0,-2454.0,4932.0,1776886760.259
-3864.0,-1969.0,4722.0,1776886760.759
-5709.0,-1589.0,3330.0,1776886761.253
-5764.0,-1751.0,3612.0,1776886761.758
-6029.0,-2429.0,3207.0,1776886762.272
-6844.0,-2404.0,1840.0,1776886762.778
-7739.0,-2501.0,1367.0,1776886763.278
-8557.0,-2716.0,1335.0,1776886763.778
-8557.0,-2254.0,1947.0,1776886764.273
-8374.0,-959.0,2137.0,1776886764.778
-8447.0,671.0,1810.0,1776886765.279
-6654.0,2993.0,2647.0,1776886765.778
-5832.0,2568.0,3780.0,1776886766.272
-5419.0,1988.0,4055.0,1776886766.792
-5559.0,2413.0,3717.0,1776886767.272
-7167.0,2568.0,2045.0,1776886767.772
-8402.0,2926.0,0.0,1776886768.273
-9014.0,3418.0,-1618.0,1776886768.798
-9169.0,4386.0,-4333.0,1776886769.3
-7779.0,6313.0,-7613.0,1776886769.793
-7972.0,6268.0,-7525.0,1776886770.293
-8554.0,5468.0,-5663.0,1776886770.792
-8509.0,5228.0,-5290.0,1776886771.32
-8684.0,5653.0,-6188.0,1776886771.812
-8762.0,5851.0,-6815.0,1776886772.319
-3239.0,4766.0,-8955.0,1776886772.812
-3662.0,2696.0,-3668.0,1776886773.32
