front_left,front_right,rear_left,rear_right,t
-3.0,16.0,-3.0,16.0,1776887498.11
-3.0,16.0,-3.0,16.0,1776887498.136
-3.0,14.0,-3.0,14.0,1776887498.576
-3.0,14.0,-3.0,14.0,1776887498.59
-3.0,14.0,-3.0,14.0,1776887498.611
-3.0,14.0,-3.0,14.0,1776887498.638
-3.0,14.0,-3.0,14.0,1776887498.65
2.0,0.0,2.0,0.0,1776887499.07
2.0,0.0,2.0,0.0,1776887499.096
2.0,0.0,2.0,0.0,1776887499.11
2.0,0.0,2.0,0.0,1776887499.136
2.0,0.0,2.0,0.0,1776887499.15
25.0,21.0,25.0,21.0,1776887499.57
25.0,21.0,25.0,21.0,1776887499.596
25.0,21.0,25.0,21.0,1776887499.61
25.0,21.0,25.0,21.0,1776887499.631
25.0,21.0,25.0,21.0,1776887499.657
67.0,61.0,67.0,61.0,1776887500.083
67.0,61.0,67.0,61.0,1776887500.093
81.0,76.0,81.0,76.0,1776887500.11
81.0,76.0,81.0,76.0,1776887500.137
81.0,76.0,81.0,76.0,1776887500.15
-76.0,75.0,-76.0,75.0,1776887500.558
-76.0,75.0,-76.0,75.0,1776887500.57
-76.0,75.0,-76.0,75.0,1776887500.596
-76.0,75.0,-76.0,75.0,1776887500.61
-76.0,75.0,-76.0,75.0,1776887500.639
-43.0,43.0,-43.0,43.0,1776887501.076
-43.0,43.0,-43.0,43.0,1776887501.09
-43.0,43.0,-43.0,43.0,1776887501.11
-43.0,43.0,-43.0,43.0,1776887501.137
-31.0,32.0,-31.0,32.0,1776887501.15
0.0,0.0,0.0,0.0,1776887501.57
0.0,0.0,0.0,0.0,1776887501.596
0.0,0.0,0.0,0.0,1776887501.61
0.0,0.0,0.0,0.0,1776887501.636
0.0,0.0,0.0,0.0,1776887501.65
0.0,0.0,0.0,0.0,1776887502.07
0.0,0.0,0.0,0.0,1776887502.096
0.0,0.0,0.0,0.0,1776887502.11
0.0,0.0,0.0,0.0,1776887502.131
0.0,0.0,0.0,0.0,1776887502.157
0.0,0.0,0.0,0.0,1776887502.578
0.0,0.0,0.0,0.0,1776887502.59
0.0,0.0,0.0,0.0,1776887502.616
0.0,0.0,0.0,0.0,1776887502.63
0.0,0.0,0.0,0.0,1776887502.656
62.0,57.0,62.0,57.0,1776887503.576
72.0,70.0,72.0,70.0,1776887503.592
72.0,70.0,72.0,70.0,1776887503.618
72.0,70.0,72.0,70.0,1776887503.63
72.0,70.0,72.0,70.0,1776887503.656
62.0,78.0,62.0,78.0,1776887504.079
58.0,74.0,58.0,74.0,1776887504.09
58.0,74.0,58.0,74.0,1776887504.116
58.0,74.0,58.0,74.0,1776887504.131
58.0,74.0,58.0,74.0,1776887504.161
34.0,45.0,34.0,45.0,1776887504.57
34.0,45.0,34.0,45.0,1776887504.597
34.0,45.0,34.0,45.0,1776887504.61
26.0,33.0,26.0,33.0,1776887504.636
26.0,33.0,26.0,33.0,1776887504.65
0.0,0.0,0.0,0.0,1776887505.09
0.0,0.0,0.0,0.0,1776887505.116
0.0,0.0,0.0,0.0,1776887505.13
0.0,0.0,0.0,0.0,1776887505.159
0.0,0.0,0.0,0.0,1776887505.17
0.0,1.0,0.0,1.0,1776887505.57
0.0,1.0,0.0,1.0,1776887505.599
0.0,1.0,0.0,1.0,1776887505.61
0.0,1.0,0.0,1.0,1776887505.636
0.0,1.0,0.0,1.0,1776887505.65
-3.0,1.0,-3.0,1.0,1776887506.07
-3.0,1.0,-3.0,1.0,1776887506.097
-3.0,1.0,-3.0,1.0,1776887506.11
-3.0,1.0,-3.0,1.0,1776887506.136
-3.0,1.0,-3.0,1.0,1776887506.15
-8.0,7.0,-8.0,7.0,1776887506.59
-8.0,7.0,-8.0,7.0,1776887506.61
-8.0,7.0,-8.0,7.0,1776887506.636
-8.0,7.0,-8.0,7.0,1776887506.65
-8.0,7.0,-8.0,7.0,1776887506.676
-4.0,7.0,-4.0,7.0,1776887507.096
-4.0,7.0,-4.0,7.0,1776887507.11
-4.0,7.0,-4.0,7.0,1776887507.136
-4.0,7.0,-4.0,7.0,1776887507.15
-4.0,7.0,-4.0,7.0,1776887507.176
4.0,9.0,4.0,9.0,1776887507.59
4.0,9.0,4.0,9.0,1776887507.617
4.0,9.0,4.0,9.0,1776887507.63
6.0,10.0,6.0,10.0,1776887507.656
6.0,10.0,6.0,10.0,1776887507.67
33.0,30.0,33.0,30.0,1776887508.09
33.0,30.0,33.0,30.0,1776887508.116
33.0,30.0,33.0,30.0,1776887508.13
33.0,30.0,33.0,30.0,1776887508.156
46.0,40.0,46.0,40.0,1776887508.17
79.0,74.0,79.0,74.0,1776887508.596
79.0,74.0,79.0,74.0,1776887508.61
79.0,74.0,79.0,74.0,1776887508.64
79.0,74.0,79.0,74.0,1776887508.654
79.0,74.0,79.0,74.0,1776887508.67
66.0,63.0,66.0,63.0,1776887509.09
66.0,63.0,66.0,63.0,1776887509.116
66.0,63.0,66.0,63.0,1776887509.13
66.0,63.0,66.0,63.0,1776887509.157
66.0,63.0,66.0,63.0,1776887509.172
23.0,27.0,23.0,27.0,1776887509.596
23.0,27.0,23.0,27.0,1776887509.619
23.0,27.0,23.0,27.0,1776887509.63
23.0,27.0,23.0,27.0,1776887509.656
23.0,27.0,23.0,27.0,1776887509.67
0.0,0.0,0.0,0.0,1776887510.096
0.0,0.0,0.0,0.0,1776887510.11
0.0,0.0,0.0,0.0,1776887510.138
0.0,0.0,0.0,0.0,1776887510.15
0.0,0.0,0.0,0.0,1776887510.177
0.0,-4.0,0.0,-4.0,1776887510.617
0.0,-4.0,0.0,-4.0,1776887510.63
0.0,-4.0,0.0,-4.0,1776887510.65
0.0,-4.0,0.0,-4.0,1776887510.677
0.0,-4.0,0.0,-4.0,1776887510.69
1.0,-23.0,1.0,-23.0,1776887511.112
1.0,-23.0,1.0,-23.0,1776887511.138
1.0,-23.0,1.0,-23.0,1776887511.15
1.0,-23.0,1.0,-23.0,1776887511.176
1.0,-23.0,1.0,-23.0,1776887511.19
6.0,-31.0,6.0,-31.0,1776887511.61
6.0,-31.0,6.0,-31.0,1776887511.636
6.0,-31.0,6.0,-31.0,1776887511.65
6.0,-31.0,6.0,-31.0,1776887511.679
6.0,-31.0,6.0,-31.0,1776887511.691
5.0,-23.0,5.0,-23.0,1776887512.11
5.0,-23.0,5.0,-23.0,1776887512.137
5.0,-23.0,5.0,-23.0,1776887512.15
5.0,-23.0,5.0,-23.0,1776887512.177
5.0,-23.0,5.0,-23.0,1776887512.191
5.0,7.0,5.0,7.0,1776887512.617
5.0,7.0,5.0,7.0,1776887512.63
5.0,7.0,5.0,7.0,1776887512.659
5.0,7.0,5.0,7.0,1776887512.67
5.0,7.0,5.0,7.0,1776887512.697
18.0,18.0,18.0,18.0,1776887513.11
18.0,18.0,18.0,18.0,1776887513.137
18.0,18.0,18.0,18.0,1776887513.15
18.0,18.0,18.0,18.0,1776887513.176
18.0,18.0,18.0,18.0,1776887513.19
-19.0,19.0,-19.0,19.0,1776887513.617
-19.0,19.0,-19.0,19.0,1776887513.63
-19.0,19.0,-19.0,19.0,1776887513.651
-19.0,19.0,-19.0,19.0,1776887513.677
-19.0,19.0,-19.0,19.0,1776887513.69
-16.0,16.0,-16.0,16.0,1776887514.11
-16.0,16.0,-16.0,16.0,1776887514.137
-16.0,16.0,-16.0,16.0,1776887514.15
-16.0,16.0,-16.0,16.0,1776887514.176
-16.0,16.0,-16.0,16.0,1776887514.191
-9.0,7.0,-9.0,7.0,1776887514.61
-9.0,7.0,-9.0,7.0,1776887514.642
-9.0,7.0,-9.0,7.0,1776887514.653
-9.0,7.0,-9.0,7.0,1776887514.675
-9.0,7.0,-9.0,7.0,1776887514.69
-11.0,15.0,-11.0,15.0,1776887515.11
-11.0,18.0,-11.0,18.0,1776887515.137
-11.0,18.0,-11.0,18.0,1776887515.15
-11.0,18.0,-11.0,18.0,1776887515.177
-11.0,18.0,-11.0,18.0,1776887515.191
-11.0,24.0,-11.0,24.0,1776887515.61
-11.0,24.0,-11.0,24.0,1776887515.637
-10.0,21.0,-10.0,21.0,1776887515.65
-10.0,21.0,-10.0,21.0,1776887515.676
-10.0,21.0,-10.0,21.0,1776887515.697
1.0,16.0,1.0,16.0,1776887516.11
1.0,16.0,1.0,16.0,1776887516.137
1.0,16.0,1.0,16.0,1776887516.15
1.0,16.0,1.0,16.0,1776887516.176
1.0,16.0,1.0,16.0,1776887516.19
9.0,6.0,9.0,6.0,1776887516.616
9.0,6.0,9.0,6.0,1776887516.63
9.0,6.0,9.0,6.0,1776887516.659
9.0,6.0,9.0,6.0,1776887516.67
9.0,6.0,9.0,6.0,1776887516.696
47.0,43.0,47.0,43.0,1776887517.11
47.0,43.0,47.0,43.0,1776887517.138
47.0,43.0,47.0,43.0,1776887517.15
47.0,43.0,47.0,43.0,1776887517.176
47.0,43.0,47.0,43.0,1776887517.19
72.0,62.0,72.0,62.0,1776887517.63
72.0,62.0,72.0,62.0,1776887517.657
70.0,62.0,70.0,62.0,1776887517.67
70.0,62.0,70.0,62.0,1776887517.697
70.0,62.0,70.0,62.0,1776887517.71
55.0,49.0,55.0,49.0,1776887518.11
55.0,49.0,55.0,49.0,1776887518.136
55.0,49.0,55.0,49.0,1776887518.15
