timestamp,battery,signal_level,orientation,lamp,speed,gps_signal,latitude,longitude,vibration
1776887484.608,100.0,0.0,161.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887485.303,100.0,0.0,161.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887485.621,100.0,0.0,161.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887486.112,100.0,0.0,162.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887486.64,100.0,0.0,162.0,0,0.23000000417232513,27.5,1000.0,1000.0,0.0
1776887487.11,100.0,0.0,162.0,0,0.23000000417232513,27.5,1000.0,1000.0,0.0
1776887487.622,100.0,0.0,162.0,0,0.23000000417232513,27.5,1000.0,1000.0,0.0
1776887488.172,100.0,0.0,160.0,0,0.029999999329447746,27.5,1000.0,1000.0,0.0
1776887488.676,100.0,0.0,147.0,0,0.6299999952316284,27.5,1000.0,1000.0,0.0
1776887489.158,100.0,0.0,162.0,0,0.6299999952316284,27.5,1000.0,1000.0,0.0
1776887489.616,100.0,0.0,145.0,0,0.33000001311302185,27.5,1000.0,1000.0,0.0
1776887490.12,100.0,0.0,141.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887490.621,100.0,0.0,140.0,0,0.5799999833106995,27.5,1000.0,1000.0,0.0
1776887491.126,100.0,0.0,123.0,0,1.0299999713897705,27.5,1000.0,1000.0,0.0
1776887491.673,100.0,0.0,73.0,0,1.4600000381469727,27.5,1000.0,1000.0,0.0
1776887492.169,100.0,0.0,59.0,0,0.800000011920929,27.5,1000.0,1000.0,0.0
1776887492.668,100.0,0.0,53.0,0,0.10999999940395355,27.5,1000.0,1000.0,0.0
1776887493.259,100.0,0.0,56.0,0,0.49000000953674316,27.5,1000.0,1000.0,0.0
1776887493.79,100.0,0.0,61.0,0,1.3600000143051147,27.5,1000.0,1000.0,0.0
1776887494.227,100.0,0.0,59.0,0,1.1699999570846558,27.5,1000.0,1000.0,0.0
1776887494.646,100.0,0.0,59.0,0,0.4699999988079071,27.5,1000.0,1000.0,0.0
1776887495.151,100.0,0.0,59.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887495.653,100.0,0.0,69.0,0,0.1599999964237213,27.5,1000.0,1000.0,0.0
1776887496.157,100.0,0.0,87.0,0,0.5,27.5,1000.0,1000.0,0.0
1776887496.659,100.0,0.0,89.0,0,0.5,27.5,1000.0,1000.0,0.0
1776887497.177,100.0,0.0,91.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887497.177,100.0,0.0,91.0,0,0.0,27.5,1000.0,1000.0,0.0
1776887497.882,100.0,0.0,86.0,0,0.019999999552965164,27.5,1000.0,1000.0,0.0
1776887498.703,100.0,0.0,71.0,0,0.10999999940395355,29.0,1000.0,1000.0,0.0
1776887499.186,100.0,0.0,70.0,0,0.09000000357627869,29.0,1000.0,1000.0,0.0
1776887499.823,100.0,0.0,70.0,0,0.019999999552965164,29.0,1000.0,1000.0,0.0
1776887500.258,100.0,0.0,70.0,0,0.38999998569488525,29.0,1000.0,1000.0,0.0
1776887500.699,100.0,0.0,25.0,0,1.3300000429153442,29.0,1000.0,1000.0,0.0
1776887501.185,100.0,0.0,36.0,0,0.009999999776482582,29.0,1000.0,1000.0,0.0
1776887501.78,100.0,0.0,36.0,0,0.009999999776482582,29.0,1000.0,1000.0,0.0
1776887502.209,100.0,0.0,36.0,0,0.0,29.0,1000.0,1000.0,0.0
1776887502.709,100.0,0.0,36.0,0,0.0,29.0,1000.0,1000.0,0.0
1776887503.191,100.0,0.0,36.0,0,0.0,29.0,1000.0,1000.0,0.0
1776887503.191,100.0,0.0,36.0,0,0.0,29.0,1000.0,1000.0,0.0
1776887504.345,100.0,0.0,22.0,0,1.2000000476837158,29.0,1000.0,1000.0,0.0
