timestamp,linear,angular
1773948823.964389,0.0,0.0
1773948825.0032532,0.0,0.0
1773948826.05152,0.0,0.0
1773948827.0923357,0.0,0.0
1773948828.0999131,0.0,0.0
1773948829.1479537,0.0,0.0
1773948830.1515663,0.0,0.0
1773948831.1534245,0.0,0.0
1773948832.0702984,0.25,0.0
1773948832.1683989,0.375,0.0
1773948832.340933,0.4375,0.0
1773948832.3991623,0.46875,0.0
1773948832.5248837,0.484375,0.0
1773948832.7463837,0.4921875,0.0
1773948832.8050795,0.49609375,0.0
1773948832.9312518,0.498046875,0.0
1773948833.021505,0.4990234375,0.0
1773948833.1554701,0.49951171875,0.0
1773948833.2766016,0.249755859375,0.0
1773948833.4497519,0.1248779296875,0.0
1773948833.5694077,0.06243896484375,0.0
1773948833.7099822,0.031219482421875,0.0
1773948833.901284,0.0156097412109375,0.0
1773948834.0087237,0.2539024353027344,0.0
1773948834.0851161,0.3769512176513672,0.0
1773948834.2823825,0.4384756088256836,0.0
1773948834.3602498,0.4692378044128418,0.0
1773948834.5378373,0.4846189022064209,0.0
1773948834.650797,0.49230945110321045,0.0
1773948834.799967,0.4961547255516052,0.0
1773948834.857961,0.4980773627758026,0.0
1773948834.9688106,0.4990386962890625,0.0
1773948835.0658414,0.49951934814453125,0.0
1773948835.1795182,0.4997596740722656,0.0
1773948835.3297937,0.4998798370361328,0.0
1773948835.4290063,0.4999399185180664,0.0
1773948835.5640883,0.4999699592590332,0.0
1773948835.7125607,0.4999849796295166,0.0
1773948835.8577857,0.4999924898147583,0.0
1773948836.0429316,0.49999624490737915,0.0
1773948836.1432354,0.4999981224536896,0.0
1773948836.2642074,0.4999990463256836,0.0
1773948836.3920884,0.4999995231628418,0.0
1773948836.5324004,0.4999997615814209,0.0
1773948836.6548655,0.49999988079071045,0.0
1773948836.7880018,0.4999999403953552,0.0
1773948836.9331257,0.2499999701976776,0.0
1773948837.0313642,0.1249999850988388,0.0
1773948837.1867573,0.0624999925494194,0.0
1773948837.4246898,0.0312499962747097,-0.25
1773948837.604045,0.01562499813735485,-0.375
1773948837.6718707,0.007812499068677425,-0.4375
1773948837.8076854,0.1806829422712326,-0.3955267071723938
1773948837.8652546,0.2671181559562683,-0.3745400309562683
1773948837.9563787,0.31033578515052795,-0.36404672265052795
1773948838.014181,0.3319445848464966,-0.3588000535964966
1773948838.1158834,0.3427489995956421,-0.3561767339706421
1773948838.3282015,0.17137449979782104,-0.42808836698532104
1773948838.3867836,0.08568724989891052,-0.4640441834926605
1773948838.572174,0.04284362494945526,-0.48202207684516907
1773948838.7422585,0.02142181247472763,-0.4910110533237457
1773948838.8389542,0.010710906237363815,-0.49550551176071167
1773948838.9863448,0.005355453118681908,-0.24775275588035583
1773948839.1744196,0.2526777386665344,-0.12387637794017792
1773948839.3924751,0.3763388693332672,-0.06193818897008896
1773948839.5854592,0.4381694197654724,-0.03096909448504448
1773948839.782184,0.4690847098827362,-0.01548454724252224
1773948839.9071274,0.4845423698425293,-0.00774227362126112
1773948840.017579,0.49227118492126465,-0.00387113681063056
1773948840.1624057,0.4961355924606323,-0.00193556840531528
1773948840.2205286,0.49806779623031616,-0.00096778420265764
1773948840.3243108,0.24903389811515808,-0.00048389210132882
1773948840.3853085,0.12451694905757904,-0.00024194605066441
1773948840.54012,0.06225847452878952,-0.000120973025332205
1773948840.7085779,0.03112923726439476,-6.04865126661025e-05
1773948840.874701,0.01556461863219738,0.2499697506427765
1773948840.9715269,0.00778230931609869,0.37498489022254944
1773948841.0728807,0.003891154658049345,0.4374924302101135
1773948841.220648,0.0019455773290246725,0.46874621510505676
1773948841.280254,0.0009727886645123363,0.4843731224536896
1773948841.465557,0.0004863943322561681,0.4921865463256836
1773948841.6511362,0.00024319716612808406,0.4960932731628418
1773948841.7085657,0.00012159858306404203,0.4980466365814209
1773948841.8330998,6.0799291532021016e-05,0.49902331829071045
1773948841.9335437,3.0399645766010508e-05,0.4995116591453552
1773948842.0887601,1.5199822883005254e-05,0.4997558295726776
1773948842.2338834,7.599911441502627e-06,0.4998779296875
1773948842.36405,3.7999557207513135e-06,0.49993896484375
1773948842.4723754,1.8999778603756567e-06,0.499969482421875
1773948842.5988455,9.499889301878284e-07,0.4999847412109375
1773948842.7002194,4.749944650939142e-07,0.49999237060546875
1773948842.8330061,2.374972325469571e-07,0.4999961853027344
1773948842.9416502,1.1874861627347855e-07,0.4999980926513672
1773948843.0076463,5.9374308136739273e-08,0.2499990463256836
1773948843.065784,2.9687154068369637e-08,0.1249995231628418
1773948843.1527169,1.4843577034184818e-08,0.0624997615814209
1773948843.3305256,7.421788517092409e-09,0.03124988079071045
1773948843.5124836,3.7108942585462046e-09,0.015624940395355225
1773948843.8266716,5.7982722789784447e-11,-0.249755859375
1773948843.931871,2.8991361394892223e-11,-0.3748779296875
1773948844.0444732,1.4495680697446112e-11,-0.43743896484375
1773948844.1488938,7.247840348723056e-12,-0.468719482421875
1773948844.2196517,3.623920174361528e-12,-0.4843597412109375
1773948844.2956705,1.811960087180764e-12,-0.49217987060546875
1773948844.4701424,9.05980043590382e-13,-0.4960899353027344
1773948844.5713897,4.52990021795191e-13,-0.4980449676513672
1773948844.688271,2.264950108975955e-13,-0.4990224838256836
1773948844.8799024,1.1324750544879775e-13,-0.4995112419128418
1773948844.9391515,5.6623752724398874e-14,-0.4997556209564209
1773948845.0202456,2.8311876362199437e-14,-0.49987781047821045
1773948845.13841,1.4155938181099718e-14,-0.4999389052391052
1773948845.2481756,7.077969090549859e-15,-0.4999694526195526
1773948845.3558648,3.5389845452749296e-15,-0.4999847412109375
1773948845.4632924,1.7694922726374648e-15,-0.49999237060546875
1773948845.639535,8.847461363187324e-16,-0.4999961853027344
1773948845.7299912,4.423730681593662e-16,-0.4999980926513672
1773948845.8517454,2.211865340796831e-16,-0.4999990463256836
1773948845.918402,1.1059326703984155e-16,-0.4999995231628418
1773948846.008423,5.5296633519920775e-17,-0.4999997615814209
1773948846.0668507,2.7648316759960388e-17,-0.49999988079071045
1773948846.1725242,1.3824158379980194e-17,-0.24999994039535522
1773948846.2368572,6.912079189990097e-18,-0.12499997019767761
1773948846.3486502,3.4560395949950484e-18,-0.062499985098838806
1773948846.4703093,1.7280197974975242e-18,-0.031249992549419403
1773948846.6006033,0.25,-0.015624996274709702
1773948846.7473736,0.375,-0.007812498137354851
1773948846.9105566,0.4375,-0.0039062490686774254
1773948847.0087988,0.46875,-0.0019531245343387127
1773948847.1880696,0.484375,-0.0009765622671693563
1773948847.2472994,0.4921875,-0.0004882811335846782
1773948847.4256968,0.49609375,-0.0002441405667923391
1773948847.5543358,0.498046875,-0.00012207028339616954
1773948847.745078,0.4990234375,-6.103514169808477e-05
1773948847.8800156,0.49951171875,-3.0517570849042386e-05
1773948847.991599,0.499755859375,-1.5258785424521193e-05
1773948848.074237,0.4998779296875,-7.6293927122605965e-06
1773948848.2064657,0.49993896484375,-3.8146963561302982e-06
1773948848.3452907,0.499969482421875,-1.9073481780651491e-06
1773948848.4857862,0.4999847412109375,-9.536740890325746e-07
1773948848.595386,0.49999237060546875,-4.768370445162873e-07
1773948848.744625,0.4267728924751282,-0.1767769306898117
1773948848.834063,0.3901631236076355,-0.26516515016555786
1773948848.9695458,0.37185826897621155,-0.30935928225517273
1773948849.0637248,0.4359291195869446,-0.15467964112758636
1773948849.180213,0.4679645597934723,-0.07733982056379318
1773948849.271787,0.48398229479789734,-0.03866991028189659
1773948849.393618,0.4919911324977875,-0.019334955140948296
1773948849.4639246,0.49599558115005493,-0.009667477570474148
1773948849.6042633,0.49799779057502747,-0.004833738785237074
1773948849.6619167,0.49899888038635254,-0.002416869392618537
1773948849.7962804,0.49949944019317627,-0.0012084346963092685
1773948849.8641949,0.49974972009658813,-0.0006042173481546342
1773948849.9658184,0.49987486004829407,-0.0003021086740773171
1773948850.1719894,0.4999374449253082,-0.00015105433703865856
1773948850.2550664,0.4267454147338867,0.17670117318630219
1773948850.3885958,0.39014941453933716,0.2651272714138031
1773948850.4498303,0.4450747072696686,0.13256363570690155
1773948850.63926,0.4725373387336731,0.06628181785345078
1773948850.70875,0.48626866936683655,0.03314090892672539
1773948850.8549619,0.49313434958457947,0.016570454463362694
1773948850.9965863,0.49656715989112854,0.008285227231681347
1773948851.1155663,0.49828359484672546,0.0041426136158406734
1773948851.1747196,0.49914178252220154,0.0020713068079203367
1773948851.2957299,0.49957090616226196,0.0010356534039601684
1773948851.477464,0.499785453081131,0.0005178267019800842
1773948851.5974479,0.4998927116394043,0.0002589133509900421
1773948851.7688706,0.49994635581970215,0.00012945667549502105
1773948851.832748,0.4999731779098511,6.472833774751052e-05
1773948851.9559548,0.49998658895492554,3.236416887375526e-05
1773948852.118142,0.49999329447746277,1.618208443687763e-05
1773948852.1859992,0.4999966621398926,8.091042218438815e-06
1773948852.3064723,0.4999983310699463,4.045521109219408e-06
