timestamp,battery,signal_level,orientation,lamp,speed,gps_signal,latitude,longitude,vibration
1773948828.075,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948828.075,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948828.613,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948828.613,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948829.124,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948829.124,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948829.614,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948829.614,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948830.117,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948830.117,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948830.623,53.0,5.0,65.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948830.623,53.0,5.0,65.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948830.623,53.0,5.0,65.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948831.207,53.0,5.0,65.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948831.207,53.0,5.0,65.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948831.622,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948831.622,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948831.622,53.0,5.0,64.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948832.141,53.0,5.0,65.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948832.141,53.0,5.0,65.0,0,0.0,0.0,1000.0,1000.0,0.0
1773948832.689,53.0,5.0,66.0,0,0.029999999329447746,0.0,1000.0,1000.0,0.0
1773948832.689,53.0,5.0,66.0,0,0.029999999329447746,0.0,1000.0,1000.0,0.0
1773948833.147,53.0,5.0,61.0,0,0.36000001430511475,0.0,1000.0,1000.0,0.0
1773948833.147,53.0,5.0,61.0,0,0.36000001430511475,0.0,1000.0,1000.0,0.0
1773948833.649,53.0,5.0,34.0,0,1.2000000476837158,0.0,1000.0,1000.0,0.0
1773948833.649,53.0,5.0,34.0,0,1.2000000476837158,0.0,1000.0,1000.0,0.0
1773948833.649,53.0,5.0,34.0,0,1.2000000476837158,0.0,1000.0,1000.0,0.0
1773948834.224,52.0,5.0,23.0,0,1.4500000476837158,0.0,1000.0,1000.0,0.0
1773948834.224,52.0,5.0,23.0,0,1.4500000476837158,0.0,1000.0,1000.0,0.0
1773948834.738,52.0,5.0,30.0,0,0.9800000190734863,0.0,1000.0,1000.0,0.0
1773948834.738,52.0,5.0,30.0,0,0.9800000190734863,0.0,1000.0,1000.0,0.0
1773948834.738,52.0,5.0,30.0,0,0.9800000190734863,0.0,1000.0,1000.0,0.0
1773948835.189,52.0,5.0,35.0,0,0.7599999904632568,0.0,1000.0,1000.0,0.0
1773948835.189,52.0,5.0,35.0,0,0.7599999904632568,0.0,1000.0,1000.0,0.0
1773948835.793,52.0,5.0,36.0,0,1.4800000190734863,0.0,1000.0,1000.0,0.0
1773948835.793,52.0,5.0,36.0,0,1.4800000190734863,0.0,1000.0,1000.0,0.0
